id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Iris-setosa,Iris-versicolor,Iris-virginica
1,5.4,3.7,1.5,0.2,1,0,0
2,4.8,3.4,1.6,0.2,1,0,0
3,4.8,3,1.4,0.1,1,0,0
4,4.3,3,1.1,0.1,1,0,0
5,5.8,4,1.2,0.2,1,0,0
6,5.7,4.4,1.5,0.4,1,0,0
7,5.4,3.9,1.3,0.4,1,0,0
8,5.1,3.5,1.4,0.3,1,0,0
9,5.7,3.8,1.7,0.3,1,0,0
10,5.1,3.8,1.5,0.3,1,0,0
11,5.4,3.4,1.7,0.2,1,0,0
12,5.1,3.7,1.5,0.4,1,0,0
13,4.6,3.6,1,0.2,1,0,0
14,5.1,3.3,1.7,0.5,1,0,0
15,4.8,3.4,1.9,0.2,1,0,0
16,5,3,1.6,0.2,1,0,0
17,5,3.4,1.6,0.4,1,0,0
18,5.2,3.5,1.5,0.2,1,0,0
19,5.2,3.4,1.4,0.2,1,0,0
20,4.7,3.2,1.6,0.2,1,0,0
21,4.8,3.1,1.6,0.2,1,0,0
22,5.4,3.4,1.5,0.4,1,0,0
23,5.2,4.1,1.5,0.1,1,0,0
24,5.5,4.2,1.4,0.2,1,0,0
25,4.9,3.1,1.5,0.1,1,0,0
26,5,3.2,1.2,0.2,1,0,0
27,5.5,3.5,1.3,0.2,1,0,0
28,4.9,3.1,1.5,0.1,1,0,0
29,4.4,3,1.3,0.2,1,0,0
30,5.1,3.4,1.5,0.2,1,0,0
31,5,3.5,1.3,0.3,1,0,0
32,4.5,2.3,1.3,0.3,1,0,0
33,4.4,3.2,1.3,0.2,1,0,0
34,5,3.5,1.6,0.6,1,0,0
35,5.1,3.8,1.9,0.4,1,0,0
36,4.8,3,1.4,0.3,1,0,0
37,5.1,3.8,1.6,0.2,1,0,0
38,4.6,3.2,1.4,0.2,1,0,0
39,5.3,3.7,1.5,0.2,1,0,0
40,5,3.3,1.4,0.2,1,0,0
41,5,2,3.5,1,0,1,0
42,5.9,3,4.2,1.5,0,1,0
43,6,2.2,4,1,0,1,0
44,6.1,2.9,4.7,1.4,0,1,0
45,5.6,2.9,3.6,1.3,0,1,0
46,6.7,3.1,4.4,1.4,0,1,0
47,5.6,3,4.5,1.5,0,1,0
48,5.8,2.7,4.1,1,0,1,0
49,6.2,2.2,4.5,1.5,0,1,0
50,5.6,2.5,3.9,1.1,0,1,0
51,5.9,3.2,4.8,1.8,0,1,0
52,6.1,2.8,4,1.3,0,1,0
53,6.3,2.5,4.9,1.5,0,1,0
54,6.1,2.8,4.7,1.2,0,1,0
55,6.4,2.9,4.3,1.3,0,1,0
56,6.6,3,4.4,1.4,0,1,0
57,6.8,2.8,4.8,1.4,0,1,0
58,6.7,3,5,1.7,0,1,0
59,6,2.9,4.5,1.5,0,1,0
60,5.7,2.6,3.5,1,0,1,0
61,5.5,2.4,3.8,1.1,0,1,0
62,5.5,2.4,3.7,1,0,1,0
63,5.8,2.7,3.9,1.2,0,1,0
64,6,2.7,5.1,1.6,0,1,0
65,5.4,3,4.5,1.5,0,1,0
66,6,3.4,4.5,1.6,0,1,0
67,6.7,3.1,4.7,1.5,0,1,0
